index,id,nome,lat,lng,estado,regiao
5134,305487,São Sebastião do Caí,-29.5889960216434,-51.3753332012977,RS,Região Sul
5135,302685,São Sebastião do Maranhão,-18.089198054472,-42.5698232330198,MG,Região Sudeste
5136,302996,São Sebastião do Oeste,-20.2763152739775,-45.0067111047143,MG,Região Sudeste
5137,303946,São Sebastião do Paraíso,-20.9172040844313,-46.9840970673501,MG,Região Sudeste
5138,301383,São Sebastião do Passé,-12.512712137791901,-38.4908321876322,BA,Região Nordeste
5139,304897,São Sebastião do Rio Preto,-19.2929741423484,-43.1748554708628,MG,Região Sudeste
5140,303609,São Sebastião do Rio Verde,-22.2187721202642,-44.9764998964105,MG,Região Sudeste
5141,301983,São Sebastião do Tocantins,-5.2577034613878295,-48.202297654656604,TO,Região Norte
5142,304175,São Sebastião do Uatumã,-2.55952951817222,-57.87347828064011,AM,Região Norte
5143,300777,São Sebastião do Umbuzeiro,-8.152805959661809,-37.00929201886171,PB,Região Nordeste
5144,305707,São Sepé,-30.1609804870924,-53.564938324651095,RS,Região Sul
5145,303660,São Simão,-21.4736415658583,-47.5521543158542,SP,Região Sudeste
5146,304350,São Simão,-18.996485705637397,-50.5473799585441,SP,Região Sudeste
5147,303176,São Thomé das Letras,-21.7262814325943,-44.985212635317296,,
5148,302988,São Tiago,-20.907946638009502,-44.510214238965,MG,Região Sudeste
5149,303690,São Tomás de Aquino,-20.7795323662813,-47.096589455294,MG,Região Sudeste
5150,300515,São Tomé,-5.97488240128001,-36.0770376608137,RN,Região Nordeste
5151,304868,São Tomé,-23.5354091916639,-52.5905624348917,RN,Região Nordeste
5152,305363,São Valentim,-27.558755725651196,-52.52416587491321,RS,Região Sul
5153,305194,São Valentim do Sul,-29.0469812067803,-51.7649418138171,RS,Região Sul
5154,302290,São Valério da Natividade,-11.9747479948212,-48.235699247937696,TO,Região Norte
5155,305431,São Valério do Sul,-27.791106462132,-53.9372325707059,RS,Região Sul
5156,305485,São Vendelino,-29.372703428002602,-51.3707389294648,RS,Região Sul
5157,300529,São Vicente,-6.219343774692151,-36.682996437088,RN,Região Nordeste
5158,303716,São Vicente,-23.9578341036134,-46.3887316839388,RN,Região Nordeste
5159,303157,São Vicente de Minas,-21.7046956027987,-44.4434428125274,MG,Região Sudeste
5160,300955,São Vicente do Seridó,-6.856654236330151,-36.411977221402005,,
5161,305819,São Vicente do Sul,-29.691902912062897,-54.6789565844351,RS,Região Sul
5162,300490,São Vicente Ferrer,-7.59207687475155,-35.4865858983275,MA,Região Nordeste
5163,301694,São Vicente Ferrer,-2.8924002361251,-44.880061472156,MA,Região Nordeste
5164,300451,Sapé,-7.090809866342401,-35.2305087951725,PB,Região Nordeste
5165,301531,Sapeaçu,-12.7297846598651,-39.187013348006,BA,Região Nordeste
5166,304306,Sapezal,-13.5453784031172,-58.8193326392165,MT,Região Centro-Oeste
5167,305474,Sapiranga,-29.635365352859804,-51.00689698482671,RS,Região Sul
5168,304734,Sapopema,-23.9109880069948,-50.579946135126704,PR,Região Sul
5169,314496,Saposoa,-6.917028033295679,-76.75891398229291,,
5170,302037,Sapucaia,-6.94113535136338,-49.700823519037506,PA,Região Norte
5171,304412,Sapucaia,-21.9953500951544,-42.9145627490866,PA,Região Norte
5172,305492,Sapucaia do Sul,-29.8280551946599,-51.1454277627993,RS,Região Sul
5173,303272,Sapucaí-Mirim,-22.7413780013906,-45.738348616688796,,
5174,303081,Saquarema,-22.9296684842183,-42.5103044221426,RJ,Região Sudeste
5175,304766,Sarandi,-23.444581967653605,-51.876448780968,PR,Região Sul
5176,305377,Sarandi,-27.9424710832386,-52.9235409630085,PR,Região Sul
5177,303785,Sarapuí,-23.640216429091602,-47.825270428877104,SP,Região Sudeste
5178,302682,Sardoá,-18.783270883616602,-42.363295298692606,MG,Região Sudeste
5179,304961,Sarutaiá,-23.2729885534638,-49.4799480683794,SP,Região Sudeste
5180,302978,Sarzedo,-20.037140231164802,-44.1449725900375,MG,Região Sudeste
5181,314477,Satipo,-11.2521937170524,-74.6927730697316,,
5182,301374,Sátiro Dias,-11.603976727367,-38.5813646629558,BA,Região Nordeste
5183,301144,Satuba,-9.56954711706274,-35.8229935018826,AL,Região Nordeste
5184,303585,Satubinha,-4.037210930665689,-45.2386971441558,MA,Região Nordeste
5185,301518,Saubara,-12.7398288184608,-38.76696599678429,BA,Região Nordeste
5186,314344,Sauce,-30.0917197682231,-58.80265441529921,,
5187,305632,Saudade do Iguaçu,-25.692153848217803,-52.618836176348196,PR,Região Sul
5188,305308,Saudades,-26.9321460476809,-53.002582317540295,SC,Região Sul
5189,301450,Saúde,-10.9411544696452,-40.420444745157106,BA,Região Nordeste
5190,314429,Saul,3.6402983542706697,-53.20846448288339,,
5191,304015,Schroeder,-26.4120511024759,-49.07446611140001,SC,Região Sul
5192,301511,Seabra,-12.4173486212235,-41.772501363561204,BA,Região Nordeste
5193,305126,Seara,-27.156903714443697,-52.299493839834994,SC,Região Sul
5194,303483,Sebastianópolis do Sul,-20.652785330985,-49.925409370825605,SP,Região Sudeste
5195,302082,Sebastião Barros,-10.817409875697301,-44.83407901791121,PI,Região Nordeste
5196,303203,Sebastião Laranjeiras,-14.571454449460198,-42.9437915649206,BA,Região Nordeste
