id_cidade,nome,nomeabrev,LATITUDE,LONGITUDE
301582,Rio de Contas,Rio de Contas,-13.5795941280881,-41.8107050365548
295778,Rio de Janeiro,Rio de Janeiro,-22.9138683111265,-43.2010414947482
302104,Rio do Antônio,Rio do Antônio,-14.4094763830018,-42.0748240273311
304617,Rio do Campo,Rio do Campo,-26.9456590789448,-50.1364551315158
302307,Rio do Fogo,Rio do Fogo,-5.27283978252451,-35.3826220154168
304969,Rio do Oeste,Rio do Oeste,-27.1956346511996,-49.7993288727535
302096,Rio do Pires,Rio do Pires,-13.1259664716437,-42.2920268070059
301617,Rio do Prado,Rio do Prado,-16.6061135897171,-40.5717113091437
304967,Rio do Sul,Rio do Sul,-27.2160761758034,-49.6434479187386
302745,Rio Doce,Rio Doce,-20.241647611462,-42.8998613360733
302231,Rio dos Bois,Rio dos Bois,-9.34186215104301,-48.5336831612282
304025,Rio dos Cedros,Rio dos Cedros,-26.740257261018,-49.2722556441073
305368,Rio dos Índios,Rio dos Índios,-27.297750226027,-52.8422017956845
302848,Rio Espera,Rio Espera,-20.8554787133958,-43.4724458500993
301082,Rio Formoso,Rio Formoso,-8.6596251110555,-35.1535027633075
304064,Rio Fortuna,Rio Fortuna,-28.1248667620925,-49.1072478995847
305550,Rio Grande,Rio Grande,-32.0353548621106,-52.1075197150801
303713,Rio Grande da Serra,Rio Grande da Serra,-23.744204446665,-46.3974820909392
301848,Rio Grande do Piauí,Rio Grande do Piauí,-7.77461139942832,-43.1368057350683
301143,Rio Largo,Rio Largo,-9.47826255416654,-35.8397315476581
302928,Rio Manso,Rio Manso,-20.2670437434708,-44.3072412620461
302039,Rio Maria,Rio Maria,-7.31740375625959,-50.043245261744
304606,Rio Negrinho,Rio Negrinho,-26.2595534306724,-49.518173495113
304044,Rio Negro,Rio Negro,-26.0954982200989,-49.7986587400368
305593,Rio Negro,Rio Negro,-19.4474827098146,-54.986312110092
314446,Rio Negro,Rio Negro,-10.5761492366023,-66.1217325497328
303090,Rio Novo,Rio Novo,-21.4653797280114,-43.1171738452335
302550,Rio Novo do Sul,Rio Novo do Sul,-20.8561020543087,-40.9391126293845
303310,Rio Paranaíba,Rio Paranaíba,-19.1908855366285,-46.2458974905088
305515,Rio Pardo,Rio Pardo,-29.9897023927883,-52.3779958644275
302128,Rio Pardo de Minas,Rio Pardo de Minas,-15.6164858767038,-42.5408525077665
302830,Rio Piracicaba,Rio Piracicaba,-19.9289917604608,-43.1739603602462
303091,Rio Pomba,Rio Pomba,-21.2716319036705,-43.1699937359046
303151,Rio Preto,Rio Preto,-22.0865733381554,-43.8297005043672
304630,Rio Preto da Eva,Rio Preto da Eva,-2.70487950991737,-59.686230979596
303361,Rio Quente,Rio Quente,-17.7701981564413,-48.7566676218377
301308,Rio Real,Rio Real,-11.481813139529,-37.9335569297521
304092,Rio Rufino,Rio Rufino,-27.8596721094421,-49.7758083248863
302201,Rio Sono,Rio Sono,-9.34848841848285,-47.8942143978661
302337,Rio Tinto,Rio Tinto,-6.8042454546632,-35.077857932312
