id,username,city,state,region,geo
2640,@raafacarvalhoo,Nilópolis,RJ,Região Sudeste,"-22.8061427643148,-43.4237185512765"
2641,@haypcuba,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2642,@biabionica,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2643,@emycost2,Maricá,RJ,Região Sudeste,"-22.935920612649106,-42.8249575990061"
2644,@leroycaio,Belo Horizonte,MG,Região Sudeste,"-19.9111294232859,-43.927313560653495"
2645,@fabrina,Marília,SP,Região Sudeste,"-22.2175748700335,-49.950476949361494"
2646,@katyglow,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2647,@leoziiiito,Salvador,BA,Região Nordeste,"-12.972681151285999,-38.501707683196"
2648,@ItfMatheus,Duque de Caxias,RJ,Região Sudeste,"-22.7862859741359,-43.3052686489186"
2649,@figuei_ira,Boa Vista,RR,Região Norte,"-7.25982829092351,-36.236921190970996"
2650,@narraide,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2651,@stegccosta,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2652,@dudarrrs,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2653,@ianferreirar,Juiz de Fora,MG,Região Sudeste,"-21.7600012962083,-43.3401301812582"
2654,@WagnerWAMA,Recife,PE,Região Nordeste,"-8.04750898689904,-34.8776414904569"
2655,@semideia72,Fortaleza,CE,Região Nordeste,"-9.80560422720153,-65.526657119746"
