id,username,city,state,region,geo
2942,@tabompedro,Franca,SP,Região Sudeste,"-20.535697847209306,-47.4042568566303"
2943,@fernandacec_,Belo Horizonte,MG,Região Sudeste,"-19.9111294232859,-43.927313560653495"
2944,@Sap4tosVo4dores,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2945,@euhenrique02,Cubatão,SP,Região Sudeste,"-23.891601815315298,-46.4243667251355"
2946,@gionics,Passos,MG,Região Sudeste,"-20.719741277803895,-46.609399058676786"
2947,@marceliinho__,São Gonçalo,RJ,Região Sudeste,"-22.8272756800223,-43.0637230257314"
2948,@kcrazynine,Curitiba,PR,Região Sul,"-25.420501362396998,-49.2654676568489"
2949,@paulinhovig2,Sumaré,SP,Região Sudeste,"-22.820891440304397,-47.273224269725"
2950,@ju_mb,Vitória,ES,Região Sudeste,"-20.316436299583106,-40.313497603987706"
2951,@camilalcorsini,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2952,@amanda_brag3,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2953,@jnatinha1,Cafelândia,SP,Região Sudeste,"-21.803578542530108,-49.609626578869495"
2954,@ifsmermaid,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2955,@GeorgeGuiCO,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2956,@giuliasr,Poços de Caldas,MG,Região Sudeste,"-21.7847508927431,-46.568658274743996"
2957,@jadiiinho,Jaboatão dos Guararapes,PE,Região Nordeste,"-8.11340747288614,-35.0152480533798"
2958,@shamaravilhosa,Florianópolis,SC,Região Sul,"-27.5954547370575,-48.5485480467415"
2959,@mabirebs,Marituba,PA,Região Norte,"-1.3646938137719398,-48.3310447061635"
2960,@J_pspereira,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2961,@matheus_vaz98,Macaé,RJ,Região Sudeste,"-22.377294006185302,-41.7851895556933"
2962,@danpaulino97,Maceió,AL,Região Nordeste,"-9.666854605479,-35.7355523147179"
2963,@paulo_pistache,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2964,@dougbarros,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2965,@umreIicario,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2966,@ammeireles,Salvador,BA,Região Nordeste,"-12.972681151285999,-38.501707683196"
2967,@Prof_JJunior,Fortaleza,CE,Região Nordeste,"-9.80560422720153,-65.526657119746"
2968,@pemarichen,Porto Alegre,RS,Região Sul,"-30.032731616135106,-51.2074411947153"
2969,@auanacandido16,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2970,@lowrane_,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2971,@eudanisdanis,São Luís,MA,Região Nordeste,"-2.53951514746143,-44.2832158364691"
2972,@ahestevam,Belo Horizonte,MG,Região Sudeste,"-19.9111294232859,-43.927313560653495"
2973,@leorrow,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2974,@Meddus4,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2975,@passosDoPop,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2976,@manuzera__,Montes Claros,MG,Região Sudeste,"-16.7286375488089,-43.85817259141361"
2977,@pedromtobias,São Luís,MA,Região Nordeste,"-2.53951514746143,-44.2832158364691"
2978,@wemersonams,Divinópolis,MG,Região Sudeste,"-20.1451180440118,-44.8916009984044"
2979,@miojocomunista,Natal,RN,Região Nordeste,"-5.79438865686087,-35.1991825508821"
2980,@vantaeswan,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2981,@bblindaa_16,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2982,@chakrareduzido,Salvador,BA,Região Nordeste,"-12.972681151285999,-38.501707683196"
2983,@ayrtoncasper,Macapá,AP,Região Norte,"0.034192803998319,-51.07018035360021"
2984,@lunnaabraga,Manaus,AM,Região Norte,"-3.1194301771900896,-60.0221093878098"
